,date,price,city,year,month,day
121,2004-05-01,44000,seoul,2004,5,1
122,2004-05-02,44000,seoul,2004,5,2
123,2004-05-03,44000,seoul,2004,5,3
124,2004-05-04,44000,seoul,2004,5,4
125,2004-05-05,44000,seoul,2004,5,5
126,2004-05-06,44000,seoul,2004,5,6
127,2004-05-07,44000,seoul,2004,5,7
128,2004-05-08,44000,seoul,2004,5,8
129,2004-05-09,44000,seoul,2004,5,9
130,2004-05-10,44000,seoul,2004,5,10
131,2004-05-11,44000,seoul,2004,5,11
132,2004-05-12,43000,seoul,2004,5,12
133,2004-05-13,43000,seoul,2004,5,13
134,2004-05-14,43000,seoul,2004,5,14
135,2004-05-15,43000,seoul,2004,5,15
136,2004-05-16,43000,seoul,2004,5,16
137,2004-05-17,43000,seoul,2004,5,17
138,2004-05-18,43000,seoul,2004,5,18
139,2004-05-19,43000,seoul,2004,5,19
140,2004-05-20,43000,seoul,2004,5,20
141,2004-05-21,43000,seoul,2004,5,21
142,2004-05-22,43000,seoul,2004,5,22
143,2004-05-23,43000,seoul,2004,5,23
144,2004-05-24,43000,seoul,2004,5,24
145,2004-05-25,43000,seoul,2004,5,25
146,2004-05-26,43000,seoul,2004,5,26
147,2004-05-27,43000,seoul,2004,5,27
148,2004-05-28,43000,seoul,2004,5,28
149,2004-05-29,43000,seoul,2004,5,29
150,2004-05-30,43000,seoul,2004,5,30
151,2004-05-31,43000,seoul,2004,5,31
152,2004-06-01,43000,seoul,2004,6,1
153,2004-06-02,43000,seoul,2004,6,2
154,2004-06-03,43000,seoul,2004,6,3
155,2004-06-04,43000,seoul,2004,6,4
156,2004-06-05,43000,seoul,2004,6,5
157,2004-06-06,43000,seoul,2004,6,6
158,2004-06-07,43000,seoul,2004,6,7
159,2004-06-08,43000,seoul,2004,6,8
160,2004-06-09,43000,seoul,2004,6,9
161,2004-06-10,43000,seoul,2004,6,10
162,2004-06-11,43000,seoul,2004,6,11
163,2004-06-12,43000,seoul,2004,6,12
164,2004-06-13,43000,seoul,2004,6,13
165,2004-06-14,43000,seoul,2004,6,14
166,2004-06-15,43000,seoul,2004,6,15
167,2004-06-16,43000,seoul,2004,6,16
168,2004-06-17,43000,seoul,2004,6,17
169,2004-06-18,43000,seoul,2004,6,18
170,2004-06-19,43000,seoul,2004,6,19
171,2004-06-20,43000,seoul,2004,6,20
172,2004-06-21,44000,seoul,2004,6,21
173,2004-06-22,44000,seoul,2004,6,22
174,2004-06-23,44000,seoul,2004,6,23
175,2004-06-24,44000,seoul,2004,6,24
176,2004-06-25,44000,seoul,2004,6,25
177,2004-06-26,44000,seoul,2004,6,26
178,2004-06-27,44000,seoul,2004,6,27
179,2004-06-28,44000,seoul,2004,6,28
180,2004-06-29,44000,seoul,2004,6,29
181,2004-06-30,44000,seoul,2004,6,30
182,2004-07-01,44000,seoul,2004,7,1
183,2004-07-02,44000,seoul,2004,7,2
184,2004-07-03,44000,seoul,2004,7,3
185,2004-07-04,44000,seoul,2004,7,4
186,2004-07-05,44000,seoul,2004,7,5
187,2004-07-06,44000,seoul,2004,7,6
188,2004-07-07,44000,seoul,2004,7,7
189,2004-07-08,44000,seoul,2004,7,8
190,2004-07-09,44000,seoul,2004,7,9
191,2004-07-10,44000,seoul,2004,7,10
192,2004-07-11,44000,seoul,2004,7,11
193,2004-07-12,44000,seoul,2004,7,12
194,2004-07-13,44000,seoul,2004,7,13
195,2004-07-14,44000,seoul,2004,7,14
196,2004-07-15,44000,seoul,2004,7,15
197,2004-07-16,44000,seoul,2004,7,16
198,2004-07-17,44000,seoul,2004,7,17
199,2004-07-18,44000,seoul,2004,7,18
200,2004-07-19,44000,seoul,2004,7,19
201,2004-07-20,44000,seoul,2004,7,20
202,2004-07-21,44000,seoul,2004,7,21
203,2004-07-22,44000,seoul,2004,7,22
204,2004-07-23,44000,seoul,2004,7,23
205,2004-07-24,44000,seoul,2004,7,24
206,2004-07-25,44000,seoul,2004,7,25
207,2004-07-26,44000,seoul,2004,7,26
208,2004-07-27,44000,seoul,2004,7,27
209,2004-07-28,44000,seoul,2004,7,28
210,2004-07-29,44000,seoul,2004,7,29
211,2004-07-30,44000,seoul,2004,7,30
212,2004-07-31,44000,seoul,2004,7,31
213,2004-08-01,44000,seoul,2004,8,1
214,2004-08-02,44000,seoul,2004,8,2
215,2004-08-03,44000,seoul,2004,8,3
216,2004-08-04,44000,seoul,2004,8,4
217,2004-08-05,44000,seoul,2004,8,5
218,2004-08-06,44000,seoul,2004,8,6
219,2004-08-07,44000,seoul,2004,8,7
220,2004-08-08,44000,seoul,2004,8,8
221,2004-08-09,44000,seoul,2004,8,9
222,2004-08-10,44000,seoul,2004,8,10
223,2004-08-11,44000,seoul,2004,8,11
224,2004-08-12,44000,seoul,2004,8,12
225,2004-08-13,44000,seoul,2004,8,13
226,2004-08-14,44000,seoul,2004,8,14
227,2004-08-15,44000,seoul,2004,8,15
228,2004-08-16,44000,seoul,2004,8,16
229,2004-08-17,44000,seoul,2004,8,17
230,2004-08-18,44000,seoul,2004,8,18
231,2004-08-19,44000,seoul,2004,8,19
232,2004-08-20,44000,seoul,2004,8,20
233,2004-08-21,44000,seoul,2004,8,21
234,2004-08-22,44000,seoul,2004,8,22
235,2004-08-23,44000,seoul,2004,8,23
236,2004-08-24,44000,seoul,2004,8,24
237,2004-08-25,44000,seoul,2004,8,25
238,2004-08-26,44000,seoul,2004,8,26
239,2004-08-27,44000,seoul,2004,8,27
240,2004-08-28,44000,seoul,2004,8,28
241,2004-08-29,44000,seoul,2004,8,29
242,2004-08-30,44000,seoul,2004,8,30
243,2004-08-31,44000,seoul,2004,8,31
244,2004-09-01,44000,seoul,2004,9,1
245,2004-09-02,44000,seoul,2004,9,2
246,2004-09-03,44000,seoul,2004,9,3
247,2004-09-04,44000,seoul,2004,9,4
248,2004-09-05,44000,seoul,2004,9,5
249,2004-09-06,44000,seoul,2004,9,6
250,2004-09-07,44000,seoul,2004,9,7
251,2004-09-08,43000,seoul,2004,9,8
252,2004-09-09,43000,seoul,2004,9,9
253,2004-09-10,43000,seoul,2004,9,10
254,2004-09-11,43000,seoul,2004,9,11
255,2004-09-12,43000,seoul,2004,9,12
256,2004-09-13,43000,seoul,2004,9,13
257,2004-09-14,43000,seoul,2004,9,14
258,2004-09-15,43000,seoul,2004,9,15
259,2004-09-16,43000,seoul,2004,9,16
260,2004-09-17,43000,seoul,2004,9,17
