date,price
2004-11-15,41000
2004-11-16,41000
2004-11-17,41000
2004-11-18,41000
2004-11-19,41000
2004-11-20,41000
2004-11-21,41000
2004-11-22,41000
2004-11-23,41000
2004-11-24,40000
2004-11-25,40000
2004-11-26,40000
2004-11-27,40000
2004-11-28,40000
2004-11-29,40000
2004-11-30,40000
2004-12-01,40000
2004-12-02,40000
2004-12-03,40000
2004-12-04,40000
2004-12-05,40000
2004-12-06,40000
2004-12-07,40000
2004-12-08,40000
2004-12-09,40000
2004-12-10,40000
2004-12-11,40000
2004-12-12,40000
2004-12-13,40000
2004-12-14,40000
2004-12-15,40000
2004-12-16,40000
2004-12-17,40000
2004-12-18,40000
2004-12-19,40000
2004-12-20,40000
2004-12-21,40000
2004-12-22,40000
2004-12-23,40000
2004-12-24,40000
2004-12-25,40000
2004-12-26,40000
2004-12-27,40000
2004-12-28,40000
2004-12-29,40000
2004-12-30,40000
2004-12-31,40000
2005-01-01,40000
2005-01-02,40000
2005-01-03,40000
2005-01-04,40000
2005-01-05,40000
2005-01-06,40000
2005-01-07,40000
2005-01-08,40000
2005-01-09,40000
2005-01-10,40000
2005-01-11,40000
2005-01-12,40000
2005-01-13,40000
2005-01-14,40000
2005-01-15,40000
2005-01-16,40000
2005-01-17,40000
2005-01-18,40000
2005-01-19,40000
2005-01-20,40000
2005-01-21,40000
2005-01-22,40000
2005-01-23,40000
2005-01-24,40000
2005-01-25,40000
2005-01-26,40000
2005-01-27,40000
2005-01-28,40000
2005-01-29,40000
2005-01-30,40000
2005-01-31,40000
2005-02-01,40000
2005-02-02,40000
2005-02-03,40000
2005-02-04,40000
2005-02-05,40000
2005-02-06,40000
2005-02-07,40000
2005-02-08,40000
2005-02-09,40000
2005-02-10,40000
2005-02-11,40000
2005-02-12,40000
2005-02-13,40000
2005-02-14,40000
2005-02-15,40000
2005-02-16,40000
2005-02-17,40000
2005-02-18,40000
2005-02-19,40000
2005-02-20,40000
2005-02-21,40000
2005-02-22,40000
2005-02-23,40000
2005-02-24,40000
2005-02-25,40000
2005-02-26,40000
2005-02-27,40000
2005-02-28,40000
2005-03-01,40000
2005-03-02,40000
2005-03-03,40000
2005-03-04,40000
2005-03-05,40000
2005-03-06,40000
